entity_group,k,biencoder_recall,colbert_recall,delta
single-entity,1,0.06142857142857142,0.09277777777777778,0.031349206349206356
single-entity,5,0.21253968253968256,0.21888888888888888,0.006349206349206327
single-entity,10,0.26095238095238094,0.25285714285714284,-0.0080952380952381
single-entity,20,0.2807142857142857,0.27706349206349207,-0.0036507936507936267
multi-entity,1,0.11111111111111109,0.14285714285714285,0.03174603174603176
multi-entity,5,0.24489795918367344,0.2913832199546485,0.04648526077097506
multi-entity,10,0.3072562358276644,0.35487528344671204,0.047619047619047616
multi-entity,20,0.36848072562358275,0.36167800453514737,-0.006802721088435382
overall,1,0.0818860877684407,0.11339869281045752,0.03151260504201682
overall,5,0.22586367880485528,0.2487394957983193,0.022875816993464027
overall,10,0.2800186741363212,0.29486461251167134,0.014845938375350143
overall,20,0.3168534080298786,0.3119047619047619,-0.004948646125116696
