entity_group,k,biencoder_recall,colbert_recall,delta
single-entity,1,0.09476190476190476,0.10666666666666666,0.011904761904761904
single-entity,5,0.206984126984127,0.20222222222222222,-0.004761904761904773
single-entity,10,0.2284126984126984,0.25761904761904764,0.029206349206349236
single-entity,20,0.27238095238095233,0.2687301587301587,-0.0036507936507936267
multi-entity,1,0.11111111111111109,0.14285714285714285,0.03174603174603176
multi-entity,5,0.24489795918367344,0.28458049886621317,0.039682539682539736
multi-entity,10,0.32312925170068024,0.34807256235827666,0.024943310657596418
multi-entity,20,0.35260770975056693,0.36848072562358275,0.015873015873015817
overall,1,0.10149393090569561,0.12156862745098039,0.02007469654528478
overall,5,0.2225957049486461,0.2361344537815126,0.013538748832866487
overall,10,0.26741363211951447,0.29486461251167134,0.027450980392156876
overall,20,0.30541549953314656,0.3098039215686274,0.004388422035480843
