entity_group,k,biencoder_recall,colbert_recall,delta
single-entity,1,0.09476190476190476,0.10666666666666666,0.011904761904761904
single-entity,5,0.206984126984127,0.18555555555555556,-0.021428571428571436
single-entity,10,0.2284126984126984,0.24095238095238095,0.012539682539682545
single-entity,20,0.27238095238095233,0.27706349206349207,0.0046825396825397325
multi-entity,1,0.11111111111111109,0.14285714285714285,0.03174603174603176
multi-entity,5,0.24489795918367344,0.28458049886621317,0.039682539682539736
multi-entity,10,0.32312925170068024,0.300453514739229,-0.022675736961451254
multi-entity,20,0.35260770975056693,0.36848072562358275,0.015873015873015817
overall,1,0.10149393090569561,0.12156862745098039,0.02007469654528478
overall,5,0.2225957049486461,0.22633053221288515,0.0037348272642390434
overall,10,0.26741363211951447,0.265452847805789,-0.0019607843137254832
overall,20,0.30541549953314656,0.31470588235294117,0.009290382819794607
