entity_group,k,biencoder_recall,colbert_recall,delta
single-entity,1,0.07222222222222223,0.09922222222222223,0.026999999999999996
single-entity,5,0.16822222222222222,0.18955555555555556,0.021333333333333343
single-entity,10,0.21344444444444444,0.2118888888888889,-0.0015555555555555323
single-entity,20,0.24333333333333335,0.23244444444444445,-0.010888888888888892
multi-entity,1,0.07432900432900433,0.09978354978354978,0.025454545454545452
multi-entity,5,0.20835497835497835,0.19889610389610388,-0.009458874458874472
multi-entity,10,0.25586580086580085,0.2548051948051948,-0.0010606060606060397
multi-entity,20,0.2981601731601731,0.2885281385281385,-0.009632034632034603
overall,1,0.07311355311355311,0.09945970695970695,0.02634615384615384
overall,5,0.1852014652014652,0.193507326007326,0.00830586080586082
overall,10,0.23139194139194139,0.23004578754578756,-0.0013461538461538303
overall,20,0.266529304029304,0.2561721611721612,-0.010357142857142843
