entity_group,k,biencoder_recall,colbert_recall,delta
single-entity,1,0.08365079365079366,0.09555555555555556,0.011904761904761904
single-entity,5,0.20142857142857143,0.20777777777777778,0.006349206349206354
single-entity,10,0.24063492063492065,0.25285714285714284,0.01222222222222219
single-entity,20,0.27238095238095233,0.2687301587301587,-0.0036507936507936267
multi-entity,1,0.11111111111111109,0.14285714285714285,0.03174603174603176
multi-entity,5,0.2290249433106576,0.28458049886621317,0.05555555555555558
multi-entity,10,0.3072562358276644,0.3072562358276644,0.0
multi-entity,20,0.35260770975056693,0.36167800453514737,0.009070294784580435
overall,1,0.0949579831932773,0.11503267973856209,0.02007469654528478
overall,5,0.2127917833800187,0.23940242763772174,0.026610644257703042
overall,10,0.2680672268907563,0.27525676937441645,0.007189542483660161
overall,20,0.30541549953314656,0.30700280112044814,0.0015873015873015817
